hidden_size,num_layers,dropout,lr,f1,accuracy,precision,recall
128,1,0.0,0.001,0.5326303257079683,0.5545775789405434,0.5593940909578079,0.5083106090118167
128,1,0.0,0.0005,0.6195623361705888,0.5812423004603514,0.5669775214274163,0.6828983248928711
128,2,0.0,0.001,0.6588038010061487,0.5052843156324969,0.5024213075060533,0.9565316192702247
128,2,0.0,0.0005,0.6229993551034766,0.5830577708617001,0.5678976058144506,0.6899428645630438
128,2,0.1,0.001,0.5453965910616024,0.5607534202165597,0.564331342869046,0.5276912089339046
128,2,0.1,0.0005,0.5688455499545492,0.5771412825001621,0.5794081007373489,0.5586612128295027
200,1,0.0,0.001,0.5734959952297304,0.5710140698956104,0.569430665343873,0.5776197896377094
200,1,0.0,0.0005,0.6567628488195827,0.5779193412435972,0.5528751192880446,0.8087261394624075
200,2,0.0,0.001,0.572896431036974,0.5687771510082344,0.566718546517168,0.5792104921438774
200,2,0.0,0.0005,0.6236992279288351,0.5820689878752513,0.5665685572614217,0.6936436826386183
200,2,0.1,0.001,0.6370744486907671,0.5643681514621021,0.5454251161930307,0.7657447084794182
200,2,0.1,0.0005,0.6394065649456675,0.5847435648058095,0.5644383697813121,0.7373393065835606
256,1,0.0,0.001,0.5333241412591992,0.5610938209168126,0.5684682367637873,0.5022724321516686
256,1,0.0,0.0005,0.6173955861945477,0.5843707449912469,0.5712865545522327,0.6716010907674328
256,2,0.0,0.001,0.6660612350804359,0.49931919859949425,0.49931919859949425,1.0
256,2,0.0,0.0005,0.6307842461821105,0.5830253517473902,0.5653493876710919,0.7133489157252305
256,2,0.1,0.001,0.6573462517026034,0.5677559489074758,0.5440044238376792,0.8303467082197117
256,2,0.1,0.0005,0.6595922416268567,0.5772547494002463,0.5515607945863349,0.8202506168030126
384,1,0.0,0.001,0.5621534195933456,0.5699604486805421,0.5717402981066201,0.5528827425009739
384,1,0.0,0.0005,0.5965238693272555,0.5781786941580757,0.5709494553764877,0.6244968185949876
384,2,0.0,0.001,0.3574578812737056,0.5276859236205667,0.5572744774477447,0.26311517984677313
384,2,0.0,0.0005,0.6038939138433236,0.5811774622317318,0.5721257189333643,0.6393974808466433
384,2,0.1,0.001,0.5831046433219903,0.5690689230370226,0.5639921128469589,0.603557979483184
384,2,0.1,0.0005,0.1255059532602594,0.5202133177721585,0.6979953992770292,0.06895208414491624
