hidden_size,num_layers,dropout,lr,f1,accuracy,precision,recall
32,1,0.0,0.0001,0.5104730765300909,0.5340400700252869,0.5366464964732,0.48673399798655537
32,1,0.0,0.0005,0.5408168170092769,0.5354503014977631,0.5337444655281467,0.5480791088883837
32,1,0.0,0.001,0.5344962249414215,0.536276988912663,0.5356292600202198,0.5333679732406715
32,1,0.0,0.01,0.6257744567043423,0.5486448810218505,0.5337964873664419,0.7560484525703893
32,2,0.0,0.0001,0.48895127042395453,0.5396485768008819,0.548286855805319,0.44120416977884586
32,2,0.0,0.0005,0.4349799892479541,0.5400213966154445,0.5621718991250644,0.3547234761147014
32,2,0.0,0.001,0.3070780570780571,0.5245736886468262,0.5634156913740789,0.21105446042931836
32,2,0.0,0.01,0.5449001672076326,0.549990274265707,0.5501671687245523,0.5397330562140746
32,2,0.1,0.0001,0.0,0.5008591065292096,0.0,0.0
32,2,0.1,0.0005,0.3977222584102036,0.5353854632691435,0.5634004048100965,0.30734257785860425
32,2,0.1,0.001,0.4836186621451622,0.540896712701809,0.5513385433987363,0.43071477283798265
32,2,0.1,0.01,0.582744838777534,0.5498605978084679,0.5422667151366013,0.6297535154093463
32,2,0.3,0.0001,0.0,0.5008591065292096,0.0,0.0
32,2,0.3,0.0005,0.12881336271894211,0.5130324839525384,0.6017339474397182,0.07212678206085799
32,2,0.3,0.001,0.4835325244047076,0.5411884847305971,0.551807429618524,0.43029259896729777
32,2,0.3,0.01,0.5790493174271307,0.5561499059845685,0.5497883520653919,0.6116000389698958
32,3,0.0,0.0001,0.0,0.5008591065292096,0.0,0.0
32,3,0.0,0.0005,0.5852862652032038,0.5467807819490371,0.5386736560460862,0.6407300360471536
32,3,0.0,0.001,0.4857796665576986,0.5410425987162031,0.5510733858008159,0.4343194881953691
32,3,0.0,0.01,0.5852862652032038,0.5467807819490371,0.5386736560460862,0.6407300360471536
32,3,0.1,0.0001,0.0,0.5008591065292096,0.0,0.0
32,3,0.1,0.0005,0.0,0.5008591065292096,0.0,0.0
32,3,0.1,0.001,0.49719539076360636,0.545208454905012,0.5547024952015355,0.45049199493391356
32,3,0.1,0.01,0.5852862652032038,0.5467807819490371,0.5386736560460862,0.6407300360471536
32,3,0.3,0.0001,0.0,0.5008591065292096,0.0,0.0
32,3,0.3,0.0005,0.004841052121994514,0.5001783051287039,0.390625,0.0024356184847205533
32,3,0.3,0.001,0.48448765566965263,0.5410425987162031,0.5513654635116655,0.43207871918942614
32,3,0.3,0.01,0.5852862652032038,0.5467807819490371,0.5386736560460862,0.6407300360471536
64,1,0.0,0.0001,0.4667200671320136,0.5467483628347274,0.5654082528533801,0.3973630370538759
64,1,0.0,0.0005,0.49599556089891794,0.55830577708617,0.5761430044688897,0.43542363524177574
64,1,0.0,0.001,0.428481308886673,0.5447545873046749,0.5737955090473076,0.34189588542850646
64,1,0.0,0.01,0.532129329004329,0.5515139726382675,0.5551282503616414,0.5109602831812425
64,2,0.0,0.0001,0.20562541526195338,0.4767392854827206,0.4244209670865502,0.13568018705549964
64,2,0.0,0.0005,0.4908704577376022,0.541690981002399,0.550907400670951,0.44263306595654855
64,2,0.0,0.001,0.5348668810939158,0.5522758218245477,0.5554739419377405,0.5157340954112948
64,2,0.0,0.01,0.6285088727007339,0.5544479024833041,0.5382656604472429,0.7551066800896308
64,2,0.1,0.0001,0.0,0.5008591065292096,0.0,0.0
64,2,0.1,0.0005,0.30762645359206675,0.5280587434351294,0.5745247823769764,0.21004773812230051
